athlete_id,o_rapm,d_rapm,rapm,off_poss,athlete_display_name,team_display_name,athlete_position_abbreviation
4897451,2.95,1.92,4.86,1510.34,Conor Enright,Indiana Hoosiers,G
4702518,2.64,2.22,4.86,822.81,Dominic Parolin,Boise State Broncos,F
5175759,4.44,0.41,4.86,1597.26,Corey Stephenson,Florida International Panthers,G
5241753,5.75,-0.9,4.86,918.69,Jordan Brathwaite,Yale Bulldogs,G
5108049,3.92,0.93,4.85,1781.42,Anthony McComb III,Norfolk State Spartans,G
5177227,1.48,3.35,4.83,608.57,Gabe Dynes,USC Trojans,C
4684812,3.09,1.74,4.83,1468.09,Colin Smith,UC Santa Barbara Gauchos,F
5241846,1.17,3.66,4.83,1438.99,Jemel Jones,New Mexico State Aggies,G
5144110,7.12,-2.3,4.82,1257.53,Jordan Watford,Queens University Royals,G
5175009,4.44,0.36,4.81,1144.07,Aidan Cammann,Stanford Cardinal,F
5311581,0.87,3.94,4.8,534.53,Prince Johnson,Eastern Illinois Panthers,F
5176077,1.4,3.4,4.8,1931.75,Joshua Ingram,Lehigh Mountain Hawks,G
5175069,3.78,1.01,4.78,816.62,Chris Johnson,UCF Knights,G
5106806,2.95,1.83,4.78,1033.47,Logan Woods,Wright State Raiders,G
5315598,0.6,4.18,4.78,1303.62,Kenyon Aguino,Montana Grizzlies,F
5106456,3.33,1.45,4.78,605.61,Jamar Franklin,Jacksonville State Gamecocks,G
5176047,1.53,3.24,4.78,574.69,Cooper Wright,Colgate Raiders,F
4700859,4.49,0.28,4.77,734.46,Josh Smith,Liberty Flames,F
5142620,3.83,0.93,4.76,2057.08,Darius Acuff Jr.,Arkansas Razorbacks,G
5241358,2.64,2.12,4.76,968.25,Corey Thomas,Bradley Braves,F
5314750,3.15,1.61,4.75,1559.51,Uzziah Buntyn,South Dakota Coyotes,G
5177703,2.79,1.96,4.75,654.1,Kavion McClain,Monmouth Hawks,F
5190926,3.69,1.06,4.75,1868.97,Kobi Williams,Missouri State Bears,G
5241069,4.12,0.63,4.75,1670.74,Elijah Mahi,Santa Clara Broncos,F
5241394,4.36,0.38,4.74,1359.65,Jalen Hampton,Arkansas State Red Wolves,G
5314195,0.72,4.02,4.74,1480.17,Francis Folefac,Siena Saints,F
5109033,0.58,4.16,4.74,915.9,Allen Mukeba,Arizona State Sun Devils,F
5060699,3.46,1.28,4.74,1551.24,Rashaud Marshall,Austin Peay Governors,F
5101653,3.72,1.01,4.73,1429.86,Luke Skaljac,Miami (OH) RedHawks,G
5311862,1.76,2.97,4.73,1409.19,Ashton Walker,La Salle Explorers,G
5108082,0.64,4.09,4.73,1859.97,Jakevion Buckley,New Orleans Privateers,G
5176780,3.73,1.0,4.73,1373.59,Teagan Moore,Western Kentucky Hilltoppers,G
5105580,4.66,0.06,4.73,1238.38,Fred King,Murray State Racers,C
5240545,3.33,1.4,4.73,1412.26,Dezayne Mingo,Charlotte 49ers,G
5176669,4.38,0.35,4.73,1651.28,Cliff Davis,James Madison Dukes,G
4684984,3.31,1.41,4.72,1073.86,Silas Sunday,Hofstra Pride,F
4702961,2.57,2.15,4.72,1147.18,Sam Silverstein,UIC Flames,G
5314298,1.34,3.37,4.71,1907.56,Kevair Kennedy,Merrimack Warriors,G
4703205,-0.88,5.59,4.71,1070.48,Kyndall Davis,Texas State Bobcats,G
5196946,4.01,0.71,4.71,1508.5,Amare Bynum,Ohio State Buckeyes,F
5175352,-0.17,4.88,4.71,1524.27,Ofri Naveh,Oral Roberts Golden Eagles,F
5241640,1.96,2.74,4.7,1844.36,Andy Stefonowicz,North Dakota State Bison,G
4897575,3.66,1.04,4.7,702.19,Kezza Giffa,Ole Miss Rebels,G
5241728,3.52,1.18,4.7,1494.09,Tey Barbour,Harvard Crimson,G
5149078,0.34,4.36,4.7,1426.21,Moustapha Thiam,Cincinnati Bearcats,C
5314225,3.83,0.85,4.68,1836.0,Leroy Blyden Jr.,Toledo Rockets,G
5101669,1.25,3.42,4.67,833.76,Jonathan Powell,North Carolina Tar Heels,G
4590359,3.54,1.11,4.66,1467.54,Matthew Mors,South Dakota State Jackrabbits,F
