athlete_id,o_rapm,d_rapm,rapm,off_poss,athlete_display_name,team_display_name,athlete_position_abbreviation
4575837,-0.52,2.01,1.48,1600.85,J.R. Konieczny,Florida Gulf Coast Eagles,F
4895787,-0.25,1.72,1.48,1473.82,Kachi Nzeh,Little Rock Trojans,F
4685686,1.13,0.35,1.48,1183.66,Gus Yalden,Vermont Catamounts,F
5314757,2.25,-0.78,1.47,931.59,Anthony Smith III,North Dakota Fighting Hawks,G
5242133,2.89,-1.41,1.47,601.99,Al Green,UNLV Rebels,G
5313872,1.66,-0.19,1.47,734.97,Brayden Shorter,Murray State Racers,G
5101624,0.03,1.44,1.46,1248.5,Brooklyn Hicks,Montana Grizzlies,G
5175727,0.77,0.69,1.46,974.8,Carlous Williams,Tennessee State Tigers,F
4711691,2.26,-0.79,1.46,1052.1,James Graham III,Alabama A&M Bulldogs,G
4897458,2.03,-0.58,1.46,1172.77,Daylen Berry,Winthrop Eagles,G
5241395,-0.36,1.82,1.45,1475.07,Zaxton King,Missouri State Bears,G
5105599,1.56,-0.11,1.45,1400.56,Ben Gold,Marquette Golden Eagles,F
5175705,1.33,0.12,1.45,1328.73,Davide Poser,New Hampshire Wildcats,F
5107088,2.07,-0.62,1.45,1778.49,Chris Ashby,Queens University Royals,G
5243211,1.43,0.01,1.45,663.97,Mihailo Boškovic,BYU Cougars,F
5314618,0.03,1.41,1.45,723.36,Rex Stirling,Wofford Terriers,F
5101827,-1.73,3.17,1.44,680.87,Trent Sisley,Indiana Hoosiers,F
5313563,2.9,-1.45,1.44,501.59,Adriel Nyorha,South Florida Bulls,G
5242943,2.13,-0.69,1.44,563.49,Max Green,Northwestern Wildcats,G
5239829,2.2,-0.77,1.44,1114.89,Jaehshon Thomas,Drake Bulldogs,G
4706561,-1.6,3.03,1.43,974.1,Milan Mejia,Louisiana Ragin' Cajuns,G
5243379,-1.25,2.68,1.43,971.51,Mykolas Ivanauskas,Mercyhurst Lakers,F
5037870,1.23,0.2,1.43,1582.19,Rodney Brown Jr.,Loyola Marymount Lions,G
5174805,-1.96,3.39,1.43,1014.02,Emmanuel Ogbole,Rutgers Scarlet Knights,C
4702671,2.47,-1.04,1.43,1326.05,Boden Skunberg,Illinois State Redbirds,G
5107877,0.76,0.66,1.42,665.12,Steven Clay,Southern Indiana Screaming Eagles,G
5061576,0.08,1.34,1.42,1283.58,Dylan Grant,Rutgers Scarlet Knights,F
5258494,-2.43,3.85,1.42,607.12,Mouhamed Sylla,Georgia Tech Yellow Jackets,C
5240378,0.69,0.73,1.42,794.88,KJ Greene,Tulane Green Wave,G
4895782,0.85,0.55,1.4,1369.66,Ronald Jessamy,Cal State Bakersfield Roadrunners,F
5106055,2.73,-1.33,1.4,1312.89,Jaxon Ellingsworth,Arkansas State Red Wolves,F
5241676,0.26,1.13,1.39,677.42,Donovan Rakotonanahary,Northern Kentucky Norse,G
5107176,3.24,-1.85,1.39,1176.0,Tre Dinkins,George Washington Revolutionaries,G
5243236,-0.35,1.73,1.39,1564.42,Brady Shoulders,Mercer Bears,G
5312289,0.57,0.81,1.38,864.97,Jermaine O'Neal Jr.,SMU Mustangs,F
5313753,-1.46,2.85,1.38,743.31,Kiani Saxon,Wyoming Cowboys,F
5175029,0.74,0.64,1.38,1740.53,Malachi Davis,Long Island University Sharks,G
5108991,-1.35,2.73,1.38,934.42,Jacob Conner,Dayton Flyers,F
5257916,2.26,-0.88,1.38,1340.27,Dalton Gayman,North Florida Ospreys,F
5243038,0.71,0.66,1.37,1379.28,Alex Chaikin,UC San Diego Tritons,G
5245765,1.63,-0.26,1.37,1748.57,Noah Bolanga,Utah Tech Trailblazers,G
5177734,1.66,-0.29,1.37,1405.74,Joshua Hughes,Evansville Purple Aces,F
5243271,-0.55,1.91,1.36,604.85,Jalen Lee,Southern Utah Thunderbirds,G
5093403,0.88,0.48,1.36,1085.9,Isaiah Abraham,Georgetown Hoyas,F
5107408,2.3,-0.95,1.36,1222.22,Jordan Chatman,Florida A&M Rattlers,G
5175001,-1.64,3.0,1.35,1317.9,Nikolaos Chitikoudis,Robert Morris Colonials,F
5106750,0.06,1.3,1.35,907.31,Zae Blake,UT Rio Grande Valley Vaqueros,G
4897936,0.13,1.21,1.35,1304.71,Jayden Jackson,California Baptist Lancers,G
5106706,2.21,-0.89,1.33,1379.11,Tayshawn Comer,Nevada Wolf Pack,G
5176206,-1.75,3.08,1.33,521.45,LA Hayes,UTEP Miners,G
5311733,-0.01,1.34,1.33,927.23,Halon Rawlins,Fairfield Stags,G
5105987,-0.4,1.73,1.33,1462.73,Barry Evans,VCU Rams,F
5112187,2.22,-0.89,1.33,943.71,Jimel Lane,Grambling Tigers,F
5312315,-0.64,1.95,1.32,1652.62,Christian Williams,Cal State Fullerton Titans,G
4684733,-1.44,2.76,1.32,636.3,Tyrell Ward,VCU Rams,G
5175409,0.84,0.47,1.31,680.77,Chudi Dioramma,Arkansas State Red Wolves,F
5242556,0.58,0.72,1.31,1146.02,D'Aundre Samuels,Houston Christian Huskies,G
5314573,0.92,0.37,1.3,1517.38,Donald Whitehead Jr.,UNC Greensboro Spartans,G
