athlete_id,o_rapm,d_rapm,rapm,athlete_display_name,team_id,team_display_name,total_poss
4433625,1.22,0.36,1.58,Jalen Washington,238,Vanderbilt Commodores,1243.6760686040336
5175727,0.75,0.84,1.58,Carlous Williams,2634,Tennessee State Tigers,1073.2943045322254
5176736,0.89,0.69,1.58,Victor Valdes,2653,Troy Trojans,1550.9289437343562
5144110,2.83,-1.25,1.58,Jordan Watford,2511,Queens University Royals,1271.9927338334658
4896534,0.55,1.03,1.58,Abdul Momoh,82,UIC Flames,1254.3829038151805
4897575,1.1,0.47,1.57,Kezza Giffa,145,Ole Miss Rebels,714.7089120696891
5107770,0.01,1.56,1.57,Jaden Daughtry,2368,Marist Red Foxes,1049.1487729730418
4898223,0.75,0.83,1.57,Gus Larson,2511,Queens University Royals,675.3204462729445
5105790,-0.67,2.25,1.57,Sencire Harris,2132,Cincinnati Bearcats,893.1707013917697
5109019,1.51,0.07,1.57,Andrew Rohde,275,Wisconsin Badgers,1469.2445081358205
4433606,-0.16,1.73,1.57,John Christofilis,2547,Seattle U Redhawks,919.0028802503601
4684289,0.9,0.66,1.57,Tre Carroll,2752,Xavier Musketeers,1792.926314038772
5175033,1.12,0.44,1.56,Jizzle James,2132,Cincinnati Bearcats,1132.642592852504
4912455,1.16,0.4,1.56,Braeden Shrewsberry,87,Notre Dame Fighting Irish,1671.1727344541443
5108762,0.67,0.89,1.56,Isaac Jack,279,Pacific Tigers,1163.6641197708593
5241454,0.85,0.71,1.55,Jaden Jackson,2571,South Dakota State Jackrabbits,1700.0291461666582
5060724,0.73,0.82,1.55,AJ Bates,2348,Louisiana Tech Bulldogs,1835.7362824504091
5175415,0.01,1.54,1.55,Dejour Reaves,2230,Fordham Rams,1692.546472692147
5313222,1.1,0.45,1.55,Howie Keene,147,Montana State Bobcats,517.7650511320767
4702596,0.13,1.42,1.55,Niko Rocak,302,UC Davis Aggies,1361.022726430153
5176571,0.78,0.77,1.55,Dani Pounds,2635,Tennessee Tech Golden Eagles,872.9934829309657
5313925,1.29,0.26,1.55,Tae Simmons,21,San Diego State Aztecs,810.2750316008386
5242936,0.04,1.52,1.55,Christian Henry,2230,Fordham Rams,1386.0944443920648
4702961,0.64,0.91,1.55,Sam Silverstein,82,UIC Flames,1170.8300591599987
5106253,1.32,0.23,1.55,Eli King,155,North Dakota Fighting Hawks,1864.1252003504987
4902967,0.25,1.3,1.54,Chandler Pigge,108,Harvard Crimson,1542.8514459129676
4683146,0.98,0.56,1.54,Zach Clemence,245,Texas A&M Aggies,900.1405874691312
5105612,-0.14,1.68,1.54,RJ Smith,305,DePaul Blue Demons,1474.8066849127097
5060702,0.86,0.68,1.54,Justin Begg,2534,Sam Houston Bearkats,1010.4010841024699
5311752,-0.62,2.16,1.54,Alliou Fall,314,Iona Gaels,977.2755719274193
5242583,-0.09,1.63,1.54,Chike Ndefo,119,Towson Tigers,660.3527792364235
5176047,0.38,1.15,1.53,Cooper Wright,2142,Colgate Raiders,597.8771349531078
5314750,1.03,0.5,1.53,Uzziah Buntyn,233,South Dakota Coyotes,1676.923520093298
5241397,0.73,0.79,1.53,Michael Osei-Bonsu,2623,Missouri State Bears,1401.4758202172682
5239520,0.69,0.83,1.52,Nick Coval,2166,Davidson Wildcats,1032.4614181314107
5313696,1.18,0.34,1.52,Keith Palek III,2623,Missouri State Bears,1832.2413628355155
5107841,-0.3,1.81,1.51,Isaiah Kerr,62,Hawai'i Rainbow Warriors,1062.8315078239386
4897054,0.65,0.86,1.51,CJ Anthony,314,Iona Gaels,1671.0924268948995
5176243,-0.04,1.56,1.51,Miles Heide,21,San Diego State Aztecs,1048.932561330244
5054085,0.6,0.91,1.51,Anthony Robinson II,142,Missouri Tigers,1470.7704120189205
4869737,0.97,0.53,1.51,Wesley Yates III,264,Washington Huskies,1443.411666335554
4598611,0.4,1.11,1.51,Jalen Celestine,2132,Cincinnati Bearcats,1277.2359457115945
5176654,-0.0,1.51,1.51,Carlos Hart,2199,Eastern Michigan Eagles,975.4499359572588
5105566,-0.38,1.88,1.5,Apostolos Roumoglou,257,Richmond Spiders,701.070604025855
5314298,0.25,1.25,1.5,Kevair Kennedy,2771,Merrimack Warriors,1913.800994580205
5311861,0.02,1.48,1.5,Roor Akhuar,2230,Fordham Rams,795.3758891909581
4702976,1.13,0.37,1.5,Josh Odunowo,2378,UMBC Retrievers,1105.3865944197514
5174631,0.74,0.76,1.5,Ryan Soulis,171,Columbia Lions,867.9856872577798
4432741,1.75,-0.25,1.5,Dior Johnson,2627,Tarleton State Texans,959.10562807268
