athlete_id,3PA,3P%,streak_score,p_value,runs_z_score,runs_p_value
5105600,28,0.32142857142857145,-0.16666666666666669,0.902,0.5708296272023626,0.5681151376711364
5247418,10,0.4,-0.16666666666666669,1.0,0.49170755108038944,0.6229260993842225
5174954,8,0.375,-0.16666666666666669,1.0,0.6179143806533247,0.5366317789686867
5175148,115,0.2608695652173913,-0.16795131845841788,1.0,1.6199297878465773,0.10524736018993826
5196931,66,0.3333333333333333,-0.16807610993657504,0.976,1.3050703261317889,0.19186890196968365
5234300,19,0.3684210526315789,-0.16883116883116883,1.0,0.3351957399555844,0.7374774353659814
5313050,19,0.3684210526315789,-0.16883116883116883,0.89,0.3351957399555844,0.7374774353659814
5242264,19,0.3684210526315789,-0.16883116883116883,0.566,0.3351957399555844,0.7374774353659814
5176246,93,0.25806451612903225,-0.16911764705882354,0.62,1.471722695289355,0.14109577636151066
4845379,46,0.43478260869565216,-0.17000000000000004,0.55,0.8775018404292168,0.38021411964042195
4711264,20,0.45,-0.17045454545454541,1.0,0.27862202880175435,0.780534905374232
5313139,48,0.375,-0.17049808429118773,0.979,0.9351035261676447,0.3497349495236496
5105965,90,0.35555555555555557,-0.17105263157894735,0.799,1.564301190545264,0.11774685267672141
5175952,142,0.3028169014084507,-0.17109634551495018,0.953,2.005615369622277,0.04489730080581075
5176571,13,0.46153846153846156,-0.17142857142857137,1.0,0.022428065200812752,0.9821064931864921
5257884,13,0.5384615384615384,-0.17142857142857143,0.634,0.022428065200812752,0.9821064931864921
5242133,57,0.3333333333333333,-0.17251461988304095,0.708,1.1051429879397319,0.26909763604204173
5239657,27,0.25925925925925924,-0.17293233082706766,0.635,0.5843152715213187,0.5590082194723913
5313712,154,0.35064935064935066,-0.17340067340067342,0.95,2.108709711471462,0.03496964606048084
5314822,28,0.14285714285714285,-0.17391304347826086,1.0,0.5270864463740458,0.598133558403867
5105848,28,0.14285714285714285,-0.17391304347826086,1.0,0.5270864463740458,0.598133558403867
5314341,28,0.14285714285714285,-0.17391304347826086,1.0,0.5270864463740458,0.598133558403867
5242967,70,0.32857142857142857,-0.1739130434782609,0.941,1.3982952652840632,0.16202441909842336
5105795,52,0.36538461538461536,-0.1743421052631579,0.836,1.1749934764454113,0.2399973257175555
5313448,38,0.23684210526315788,-0.1746031746031746,0.76,0.8108074535708794,0.41747625343735306
5313294,38,0.23684210526315788,-0.1746031746031746,0.888,0.8108074535708794,0.41747625343735306
