team_id,opp_orb,opp_drb,opp_trb,opp_fga,opp_3pa,opp_poss
2449,268,825,1093,2006,719,2268.4
2450,345,687,1032,1832,867,2246.4
2453,326,858,1184,1988,722,2297.64
2454,367,790,1157,2004,582,2158.92
2458,296,821,1117,1922,639,2209.6
2459,376,827,1203,1895,698,2249.44
2460,234,820,1054,1783,837,2163.24
2463,322,804,1126,1729,656,2083.04
2464,280,910,1190,1918,739,2382.96
2466,364,816,1180,1819,614,2249.8
2473,345,829,1174,1949,769,2236.48
2474,8,32,40,65,23,67.2
2475,39,100,139,196,113,208.6
2476,15,30,45,71,23,76.92
2477,7,35,42,60,24,70.0
2483,344,825,1169,2119,787,2393.08
2486,7,28,35,60,22,74.24
2488,18,35,53,67,34,71.36
2491,39,93,132,183,71,203.32
2492,342,808,1150,1991,676,2307.72
2494,10,34,44,52,15,74.08
2496,29,68,97,128,60,144.16
2501,346,817,1163,2045,891,2354.12
2502,292,821,1113,1669,566,2206.4
2504,285,795,1080,1723,579,2244.92
2506,295,757,1052,1686,592,2075.2
2507,320,749,1069,1980,665,2267.88
2508,13,35,48,73,35,84.56
2509,284,691,975,2024,717,2259.16
2511,289,818,1107,2015,730,2319.64
2514,319,772,1091,1941,710,2226.48
2515,316,812,1128,1889,701,2314.28
2519,10,32,42,68,23,78.68
2520,288,657,945,1625,699,1941.92
2523,307,800,1107,1831,591,2205.84
2524,12,40,52,67,29,83.24
2529,362,864,1226,1973,729,2308.52
2534,276,764,1040,1704,795,2255.12
2535,296,770,1066,1783,782,2242.76
2539,307,800,1107,1941,675,2383.44
2540,290,767,1057,1902,599,2282.24
2541,287,819,1106,2035,785,2360.44
2544,10,27,37,64,19,77.56
2545,327,808,1135,1872,772,2275.32
2546,336,937,1273,2028,720,2601.28
2547,284,841,1125,1847,643,2248.0
2550,342,779,1121,1835,676,2217.92
2557,12,40,52,67,30,71.04
2560,20,28,48,74,31,65.8
2561,282,735,1017,1765,495,2137.08
2562,17,33,50,59,29,61.28
2565,357,814,1171,1936,699,2315.24
2567,343,858,1201,1908,708,2268.0
2569,343,809,1152,1785,652,2268.88
2571,276,816,1092,1880,768,2174.64
2572,343,776,1119,1874,709,2261.04
2573,13,28,41,73,31,83.56
2574,28,47,75,123,61,131.6
2579,343,777,1120,1858,674,2090.2400000000002
2582,296,835,1131,1741,722,2315.64
2585,8,39,47,59,26,77.92
2588,23,22,45,66,27,77.12
2589,8,26,34,53,12,66.84
2590,28,56,84,129,56,148.04
2591,26,67,93,141,59,150.04000000000002
2592,31,90,121,226,90,247.56
2595,25,45,70,115,34,145.76
2597,310,741,1051,1677,454,2003.04
2598,302,758,1060,1868,660,2136.88
2599,339,839,1178,2037,802,2449.32
2602,16,31,47,72,35,72.36
2603,355,840,1195,1923,810,2282.2
2606,9,28,37,55,24,70.48
2608,243,757,1000,1806,577,2240.56
2610,10,26,36,55,19,67.28
2612,292,739,1031,1551,557,2008.16
2614,10,28,38,63,25,70.04
2615,17,36,53,72,45,71.16
2616,20,65,85,109,55,139.24
